,item_id,name,category,price,old_price,sellable_online,link,other_colors,designer,depth,height,width
266,50419972,JONAXEL,Bookcases & shelving units,175.0,No old price,True,https://www.ikea.com/sa/en/p/jonaxel-shelving-unit-white-50419972/,No,IKEA of Sweden,38.0,160.0,80.0
184,257953,GONATT,Beds,1095.0,No old price,True,https://www.ikea.com/sa/en/p/gonatt-cot-light-grey-00257953/,No,J Asshoff/H Brogård,,103.0,66.0
988,20443624,BESTÅ,Cabinets & cupboards,225.0,No old price,True,https://www.ikea.com/sa/en/p/besta-top-panel-concrete-effect-light-grey-20443624/,No,IKEA of Sweden,42.0,,180.0
197,10248519,GULLIVER,Beds,595.0,No old price,True,https://www.ikea.com/sa/en/p/gulliver-cot-white-10248519/,No,IKEA of Sweden,,80.0,66.0
890,30269129,BESTÅ BURS,Cabinets & cupboards,1195.0,No old price,True,https://www.ikea.com/sa/en/p/besta-burs-tv-bench-high-gloss-white-30269129/,No,Mikael Warnhammar,41.0,49.0,180.0
997,39276682,HÄLLAN,Cabinets & cupboards,2775.0,No old price,True,https://www.ikea.com/sa/en/p/haellan-storage-combination-with-doors-white-s39276682/,No,Jon Karlsson,47.0,192.0,135.0
589,29221765,SVALNÄS,Bookcases & shelving units,660.0,No old price,True,https://www.ikea.com/sa/en/p/svalnaes-wall-mounted-storage-combination-bamboo-s29221765/,No,Jon Karlsson,35.0,176.0,86.0
961,50357002,KALLRÖR,Cabinets & cupboards,25.0,No old price,True,https://www.ikea.com/sa/en/p/kallroer-handle-stainless-steel-50357002/,No,IKEA of Sweden,38.0,,
540,79276246,ALGOT,Bookcases & shelving units,429.0,SR 595,True,https://www.ikea.com/sa/en/p/algot-wall-upright-shelves-rod-white-s79276246/,No,Francis Cayouette,41.0,199.0,132.0
916,295530,BESTÅ,Cabinets & cupboards,25.0,No old price,True,https://www.ikea.com/sa/en/p/besta-glass-shelf-glass-00295530/,No,IKEA of Sweden,16.0,,56.0
438,59282998,BROR,Bookcases & shelving units,580.0,No old price,True,https://www.ikea.com/sa/en/p/bror-shelving-unit-black-s59282998/,No,IKEA of Sweden,55.0,190.0,85.0
595,89280747,BILLY / OXBERG,Bookcases & shelving units,1480.0,No old price,True,https://www.ikea.com/sa/en/p/billy-oxberg-bookcase-with-panel-glass-doors-brown-ash-veneer-glass-s89280747/,Yes,Gillis Lundgren/K Hagberg/M Hagberg,30.0,202.0,160.0
24,400545,EKEDALEN,Bar furniture,345.0,No old price,True,https://www.ikea.com/sa/en/p/ekedalen-bar-stool-with-backrest-white-orrsta-light-grey-00400545/,No,Ehlén Johansson,51.0,114.0,43.0
1157,90435324,TOSSBERG,Chairs,495.0,No old price,True,https://www.ikea.com/sa/en/p/tossberg-chair-metal-black-grey-90435324/,No,IKEA of Sweden,56.0,82.0,60.0
899,49265999,HAVSTA,Cabinets & cupboards,1240.0,No old price,True,https://www.ikea.com/sa/en/p/havsta-storage-combination-white-s49265999/,Yes,IKEA of Sweden,47.0,212.0,81.0
1074,50294793,HANVIKEN,Cabinets & cupboards,100.0,No old price,True,https://www.ikea.com/sa/en/p/hanviken-door-black-brown-50294793/,Yes,Marcus Arvonen,,64.0,60.0
232,89253169,STUVA / FRITIDS,Beds,995.0,No old price,True,https://www.ikea.com/sa/en/p/stuva-fritids-cot-with-drawers-white-s89253169/,No,Ebba Strandmark,,86.0,66.0
594,40419958,JONAXEL,Bookcases & shelving units,70.0,No old price,True,https://www.ikea.com/sa/en/p/jonaxel-frame-white-40419958/,Yes,IKEA of Sweden,51.0,70.0,50.0
848,363171,FABRIKÖR,Cabinets & cupboards,636.0,SR 795,True,https://www.ikea.com/sa/en/p/fabrikoer-glass-door-cabinet-black-blue-blue-00363171/,Yes,Nike Karlsson,42.0,113.0,81.0
770,50323597,BILLSBRO,Bookcases & shelving units,35.0,No old price,True,https://www.ikea.com/sa/en/p/billsbro-handle-stainless-steel-colour-50323597/,No,H Preutz/A Fredriksson,,,
364,39285827,EKET,Bookcases & shelving units,80.0,No old price,True,https://www.ikea.com/sa/en/p/eket-wall-mounted-shelving-unit-dark-grey-s39285827/,Yes,IKEA of Sweden/Jon Karlsson,25.0,35.0,35.0
715,69903799,ALGOT,Bookcases & shelving units,204.0,SR 340,True,https://www.ikea.com/sa/en/p/algot-wall-upright-shelves-white-s69903799/,No,Francis Cayouette,41.0,197.0,46.0
100,70305700,BUSUNGE,Beds,795.0,No old price,True,https://www.ikea.com/sa/en/p/busunge-extendable-bed-white-70305700/,No,Carl Öjerstam,,,90.0
891,90433909,MARKERAD,Cabinets & cupboards,597.0,SR 995,True,https://www.ikea.com/sa/en/p/markerad-glass-door-cabinet-pine-90433909/,No,Virgil Abloh,40.0,80.0,80.0
836,70439728,LIATORP,Cabinets & cupboards,1345.0,No old price,True,https://www.ikea.com/sa/en/p/liatorp-sideboard-white-70439728/,No,Carina Bengs,48.0,87.0,145.0
1162,90342688,JOKKMOKK,Chairs,79.2,SR 99,True,https://www.ikea.com/sa/en/p/jokkmokk-chair-antique-stain-90342688/,No,Carina Bengs,47.0,90.0,41.0
718,322897,SVALNÄS,Bookcases & shelving units,310.0,No old price,True,https://www.ikea.com/sa/en/p/svalnaes-cabinet-with-2-doors-bamboo-white-00322897/,No,Jon Karlsson,35.0,39.0,61.0
846,10251451,IKEA PS,Cabinets & cupboards,425.0,No old price,True,https://www.ikea.com/sa/en/p/ikea-ps-cabinet-white-10251451/,No,Nicholai Wiig Hansen,40.0,63.0,119.0
51,50468953,VATTVIKEN,Beds,995.0,No old price,True,https://www.ikea.com/sa/en/p/vattviken-armchair-bed-lerhaga-light-grey-50468953/,No,IKEA of Sweden,83.0,86.0,92.0
1178,10135659,MARIUS,Chairs,25.0,No old price,True,https://www.ikea.com/sa/en/p/marius-stool-black-10135659/,No,Ola Wihlborg,,,40.0
405,20333951,EKET,Bookcases & shelving units,236.0,SR 295,True,https://www.ikea.com/sa/en/p/eket-cabinet-w-2-doors-and-1-shelf-white-20333951/,Yes,Jon Karlsson,35.0,70.0,70.0
289,69155853,BILLY,Bookcases & shelving units,1510.0,No old price,True,https://www.ikea.com/sa/en/p/billy-bookcase-brown-ash-veneer-s69155853/,Yes,Gillis Lundgren/IKEA of Sweden,28.0,237.0,280.0
931,30365135,GALANT,Cabinets & cupboards,2545.0,No old price,True,https://www.ikea.com/sa/en/p/galant-cabinet-with-sliding-doors-white-30365135/,Yes,K Malmvall/E Lilja Löwenhielm,45.0,120.0,160.0
317,39278290,KALLAX,Bookcases & shelving units,345.0,No old price,True,https://www.ikea.com/sa/en/p/kallax-shelving-unit-with-2-inserts-black-brown-s39278290/,Yes,Tord Björklund,39.0,147.0,42.0
338,80385616,BILLY,Bookcases & shelving units,516.0,SR 645,True,https://www.ikea.com/sa/en/p/billy-bookcase-with-glass-doors-dark-red-80385616/,Yes,Gillis Lundgren,30.0,202.0,80.0
789,59385755,BROR,Bookcases & shelving units,375.0,No old price,True,https://www.ikea.com/sa/en/p/bror-shelving-unit-white-s59385755/,No,IKEA of Sweden,55.0,110.0,85.0
465,9177626,BILLY,Bookcases & shelving units,305.0,No old price,True,https://www.ikea.com/sa/en/p/billy-bookcase-brown-ash-veneer-s09177626/,Yes,Gillis Lundgren/IKEA of Sweden,28.0,237.0,40.0
282,40415465,LOMMARP,Bookcases & shelving units,476.0,SR 595,True,https://www.ikea.com/sa/en/p/lommarp-bookcase-dark-blue-green-40415465/,No,Francis Cayouette,34.0,199.0,65.0
462,70391038,HAVSTA,Bookcases & shelving units,695.0,No old price,True,https://www.ikea.com/sa/en/p/havsta-shelving-unit-with-plinth-dark-brown-70391038/,Yes,IKEA of Sweden,37.0,212.0,61.0
278,30318163,IVAR,Bookcases & shelving units,35.0,No old price,True,https://www.ikea.com/sa/en/p/ivar-shelf-pine-30318163/,No,IKEA of Sweden,30.0,,83.0
593,30236153,ORRNÄS,Bookcases & shelving units,17.0,No old price,True,https://www.ikea.com/sa/en/p/orrnaes-knob-stainless-steel-colour-stainless-steel-30236153/,No,IKEA of Sweden,30.0,,17.0
468,80344923,EKET,Bookcases & shelving units,375.0,No old price,True,https://www.ikea.com/sa/en/p/eket-cabinet-with-2-drawers-dark-grey-80344923/,Yes,Jon Karlsson,35.0,35.0,70.0
571,49297660,JONAXEL,Bookcases & shelving units,490.0,SR 550,True,https://www.ikea.com/sa/en/p/jonaxel-frame-wire-baskets-clothes-rails-s49297660/,No,IKEA of Sweden,51.0,173.0,99.0
624,10452614,BROR,Bookcases & shelving units,90.0,No old price,True,https://www.ikea.com/sa/en/p/bror-post-white-10452614/,No,IKEA of Sweden,4.0,190.0,
382,10428332,HYLLIS,Bookcases & shelving units,12.0,No old price,True,https://www.ikea.com/sa/en/p/hyllis-cover-transparent-in-outdoor-10428332/,No,IKEA of Sweden,,74.0,60.0
565,29287370,BILLY / MORLIDEN,Bookcases & shelving units,415.0,No old price,True,https://www.ikea.com/sa/en/p/billy-morliden-bookcase-with-glass-doors-white-glass-s29287370/,Yes,Gillis Lundgren/IKEA of Sweden,30.0,106.0,80.0
610,89311466,JONAXEL,Bookcases & shelving units,830.0,SR 840,True,https://www.ikea.com/sa/en/p/jonaxel-frame-mesh-baskets-clothes-rails-s89311466/,No,IKEA of Sweden,51.0,173.0,148.0
868,327772,MALSJÖ,Cabinets & cupboards,2100.0,No old price,True,https://www.ikea.com/sa/en/p/malsjoe-sideboard-basic-unit-black-stained-00327772/,No,Carina Bengs,48.0,92.0,145.0
95,29239459,SÄBÖVIK,Beds,1745.0,No old price,True,https://www.ikea.com/sa/en/p/saeboevik-divan-bed-grey-firm-s29239459/,Yes,IKEA of Sweden,,90.0,140.0
395,80349001,EKET,Bookcases & shelving units,45.0,No old price,True,https://www.ikea.com/sa/en/p/eket-underframe-birch-80349001/,No,Jon Karlsson,34.0,10.0,34.0
377,116595,LIATORP,Bookcases & shelving units,995.0,No old price,True,https://www.ikea.com/sa/en/p/liatorp-bookcase-white-00116595/,No,Carina Bengs,37.0,214.0,96.0
647,69248211,IVAR,Bookcases & shelving units,1870.0,No old price,True,https://www.ikea.com/sa/en/p/ivar-3-sections-cabinet-shelves-pine-white-s69248211/,No,Sarah Fager/IKEA of Sweden,30.0,226.0,259.0
502,20245959,BESTÅ,Bookcases & shelving units,110.0,No old price,True,https://www.ikea.com/sa/en/p/besta-frame-black-brown-20245959/,Yes,IKEA of Sweden,20.0,64.0,60.0
224,40296599,KURA,Beds,125.0,No old price,True,https://www.ikea.com/sa/en/p/kura-bed-tent-turquoise-40296599/,No,T Christensen/K Legaard,,68.0,97.0
1050,50334317,BILLSBRO,Cabinets & cupboards,45.0,No old price,True,https://www.ikea.com/sa/en/p/billsbro-handle-white-50334317/,Yes,H Preutz/A Fredriksson,,,
301,20213312,VITTSJÖ,Bookcases & shelving units,395.0,No old price,True,https://www.ikea.com/sa/en/p/vittsjoe-shelving-unit-black-brown-glass-20213312/,No,Johan Kroon,36.0,175.0,100.0
851,60342072,REGISSÖR,Cabinets & cupboards,796.0,SR 995,True,https://www.ikea.com/sa/en/p/regissoer-cabinet-brown-60342072/,Yes,K Hagberg/M Hagberg,38.0,110.0,118.0
1166,70308685,ODGER,Chairs,395.0,No old price,True,https://www.ikea.com/sa/en/p/odger-swivel-chair-white-beige-70308685/,Yes,J Löfgren/J Pettersson,68.0,,68.0
263,60282186,LACK,Bookcases & shelving units,199.0,No old price,True,https://www.ikea.com/sa/en/p/lack-wall-shelf-unit-white-60282186/,Yes,C Halskov/H Dalsgaard,28.0,190.0,30.0
441,29205534,BESTÅ,Bookcases & shelving units,1081.0,"SR 1,180",True,https://www.ikea.com/sa/en/p/besta-storage-combination-with-doors-grey-stained-walnut-effect-lappviken-light-grey-s29205534/,Yes,IKEA of Sweden,40.0,192.0,120.0
1181,40202746,MALINDA,Chairs,25.0,SR 30,True,https://www.ikea.com/sa/en/p/malinda-chair-cushion-red-40202746/,No,IKEA of Sweden,38.0,,
328,90301225,BRIMNES,Bookcases & shelving units,445.0,No old price,True,https://www.ikea.com/sa/en/p/brimnes-bookcase-white-90301225/,Yes,K Hagberg/M Hagberg,35.0,190.0,60.0
1080,89286513,BEKANT,Cabinets & cupboards,939.0,No old price,True,https://www.ikea.com/sa/en/p/bekant-storage-unit-with-smart-lock-mesh-white-s89286513/,Yes,Eva Lilja Löwenhielm/IKEA of Sweden,45.0,61.0,41.0
154,59302915,PLATSA,Beds,2905.0,"SR 3,265",True,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-4-doors-6-drawers-white-fonnes-ridabu-s59302915/,No,IKEA of Sweden,40.0,43.0,141.0
685,40226790,UPPLEVA,Bookcases & shelving units,145.0,No old price,True,https://www.ikea.com/sa/en/p/uppleva-wall-bracket-for-tv-tilt-swivel-40226790/,No,IKEA of Sweden,,,
115,19268763,STUVA,Beds,1725.0,No old price,True,https://www.ikea.com/sa/en/p/stuva-loft-bed-combo-w-2-shlvs-3-shlvs-white-s19268763/,No,IKEA of Sweden/Ebba Strandmark,,182.0,
181,80362974,SLÄKT,Beds,295.0,No old price,True,https://www.ikea.com/sa/en/p/slaekt-storage-box-with-castors-80362974/,No,Ebba Strandmark,53.0,35.0,62.0
861,79281790,BILLY / OXBERG,Cabinets & cupboards,930.0,No old price,True,https://www.ikea.com/sa/en/p/billy-oxberg-bookcase-with-panel-glass-doors-white-glass-s79281790/,Yes,Gillis Lundgren,30.0,202.0,120.0
729,39286558,HYLLIS,Bookcases & shelving units,141.0,No old price,True,https://www.ikea.com/sa/en/p/hyllis-shelving-units-with-covers-transparent-s39286558/,No,IKEA of Sweden,27.0,74.0,180.0
58,30446373,SLATTUM,Beds,595.0,No old price,True,https://www.ikea.com/sa/en/p/slattum-upholstered-bed-frame-knisa-light-grey-30446373/,Yes,David Wahl,,,144.0
93,20467629,MYDAL,Beds,895.0,No old price,True,https://www.ikea.com/sa/en/p/mydal-bunk-bed-frame-white-20467629/,No,IKEA of Sweden,,157.0,97.0
864,29286931,BEKANT,Cabinets & cupboards,1389.0,No old price,True,https://www.ikea.com/sa/en/p/bekant-storage-unit-with-smart-lock-mesh-black-s29286931/,Yes,Eva Lilja Löwenhielm/IKEA of Sweden,45.0,101.0,61.0
1119,59259752,LEIFARNE,Café furniture,275.0,No old price,True,https://www.ikea.com/sa/en/p/leifarne-chair-with-armrests-white-dietmar-white-s59259752/,No,Mia Lagerman,50.0,87.0,53.0
1071,50293604,BESTÅ,Cabinets & cupboards,15.0,No old price,True,https://www.ikea.com/sa/en/p/besta-supporting-leg-grey-50293604/,No,IKEA of Sweden,,10.0,
986,19291315,HÄLLAN,Cabinets & cupboards,375.0,No old price,True,https://www.ikea.com/sa/en/p/haellan-storage-combination-with-doors-white-s19291315/,No,Jon Karlsson,47.0,92.0,45.0
976,49265895,HAVSTA,Cabinets & cupboards,4580.0,No old price,True,https://www.ikea.com/sa/en/p/havsta-storage-comb-w-sliding-glass-doors-white-s49265895/,Yes,IKEA of Sweden,47.0,212.0,242.0
429,59197981,BESTÅ,Bookcases & shelving units,770.0,No old price,True,https://www.ikea.com/sa/en/p/besta-tv-bench-with-drawers-grey-stained-walnut-effect-lappviken-stubbarp-lappviken-light-grey-s59197981/,Yes,IKEA of Sweden,42.0,48.0,120.0
143,59167074,LAUVIK,Beds,2146.0,"SR 3,130",True,https://www.ikea.com/sa/en/p/lauvik-divan-bed-hamarvik-medium-firm-tuddal-dark-beige-s59167074/,Yes,Synnöve Mork/Ola Wihlborg/IKEA of Sweden,,120.0,140.0
853,89302971,BESTÅ,Cabinets & cupboards,2470.0,No old price,True,https://www.ikea.com/sa/en/p/besta-tv-storage-combination-grey-stained-walnut-effect-lappviken-notviken-stubbarp-grey-green-s89302971/,Yes,IKEA of Sweden,42.0,230.0,240.0
673,79320758,SVALNÄS,Bookcases & shelving units,1830.0,No old price,True,https://www.ikea.com/sa/en/p/svalnaes-wall-mounted-workspace-combination-bamboo-white-s79320758/,No,Jon Karlsson,35.0,176.0,213.0
553,29248374,IVAR,Bookcases & shelving units,795.0,No old price,True,https://www.ikea.com/sa/en/p/ivar-3-sections-shelves-pine-s29248374/,No,IKEA of Sweden,30.0,179.0,259.0
1140,60217799,GUNDE,Chairs,30.0,No old price,True,https://www.ikea.com/sa/en/p/gunde-folding-chair-white-60217799/,No,K Hagberg/M Hagberg,45.0,78.0,41.0
550,39323990,JONAXEL,Bookcases & shelving units,660.0,SR 732,True,https://www.ikea.com/sa/en/p/jonaxel-frame-mesh-baskets-shelving-units-s39323990/,No,IKEA of Sweden,51.0,173.0,99.0
1069,90265246,HISHULT,Cabinets & cupboards,35.0,No old price,True,https://www.ikea.com/sa/en/p/hishult-handle-porcelain-white-90265246/,No,K Hagberg/M Hagberg,37.0,,12.0
635,9188842,EKET,Bookcases & shelving units,414.0,No old price,True,https://www.ikea.com/sa/en/p/eket-wall-mounted-cabinet-combination-white-s09188842/,Yes,IKEA of Sweden/Jon Karlsson,35.0,120.0,105.0
